"BIRD","Dominance","Sex","Season","Season.plus","Cohort","Group","Start.AgeCl","Bird.age","Mean.Age","Delta.Age","Plate","Position","RTL"
"86","SUB","M","2011-12","2011-12_2","2010-11","PU","F",638,526.5,111.5,"OX5",26,1.0930713
"87","SUB","F","2011-12","2011-12_1","2010-11","GE","F",314,428.5,-114.5,"OX6",2,0.94585353
"87","SUB","F","2011-12","2011-12_2","2010-11","GE","F",543,428.5,114.5,"OX6",3,0.936580837
"88","SUB","M","2011-12","2011-12_1","2010-11","OK","N",262,372,-110,"OX6",4,0.777462285
"88","SUB","M","2011-12","2011-12_2","2010-11","OK","N",482,372,110,"OX6",5,0.769403151
"89","SUB","M","2011-12","2011-12_1","2010-11","OK","N",261,371,-110,"OX7",19,1.001626208
"89","SUB","M","2011-12","2011-12_2","2010-11","OK","N",481,371,110,"OX7",20,1.068647011
"90","SUB","M","2011-12","2011-12_1","2010-11","PU","N",245,753.6,-508.6,"OX6",9,0.788366755
"90","SUB","M","2011-12","2011-12_2","2010-11","PU","N",468,753.6,-285.6,"OX6",10,0.828263865
"90","SUB","M","2012-13","2012-13_2","2010-11","CA","N",808,753.6,54.4,"M2",8,0.860648
"90","SUB","M","2013-14","2013-14_1","2010-11","CA","N",1056,753.6,302.4,"M2",17,0.810856819
"90","SUB","M","2013-14","2013-14_2","2010-11","OK","N",1191,753.6,437.4,"M2",20,0.806088455
"91","SUB","M","2011-12","2011-12_1","2010-11","YE","N",235,640.2,-405.2,"OX6",11,0.933409335
"91","SUB","M","2011-12","2011-12_2","2010-11","YE","N",466,640.2,-174.2,"M2",9,0.594950467
"91","SUB","M","2012-13","2012-13_1","2010-11","YE","N",680,640.2,39.8,"M2",11,0.523842233
"91","SUB","M","2012-13","2012-13_2","2010-11","YE","N",807,640.2,166.8,"M2",14,0.638091539
"91","SUB","M","2013-14","2013-14_1","2010-11","YE","N",1013,640.2,372.8,"M2",13,0.657765079
"92","SUB","M","2011-12","2011-12_1","2010-11","YE","N",236,350.5,-114.5,"OX6",13,0.745478724
"92","SUB","M","2011-12","2011-12_2","2010-11","YE","N",465,350.5,114.5,"OX6",14,0.943819751
"93","SUB","M","2011-12","2011-12_1","2010-11","PO","N",222,311,-89,"OX6",15,0.828542513
"93","SUB","M","2011-12","2011-12_2","2010-11","PO","N",400,311,89,"OX6",16,0.875888628
"94","SUB","M","2011-12","2011-12_1","2010-11","DI","N",227,430.333333333333,-203.333333333333,"OX6",17,0.929765013
"94","SUB","M","2011-12","2011-12_2","2010-11","DI","N",444,430.333333333333,13.6666666666667,"J2",6,0.799890271
"94","SUB","M","2012-13","2012-13_1","2010-11","DI","N",620,430.333333333333,189.666666666667,"J2",10,0.716899399
"95","DOM","M","2013-14","2013-14_2","2010-11","DI","N",1139,1304.66666666667,-165.666666666667,"K2",15,1.659438716
"95","DOM","M","2014-15","2014-15_1","2010-11","DI","N",1293,1304.66666666667,-11.6666666666667,"K2",17,1.124368225
"95","DOM","M","2014-15","2014-15_2","2010-11","DI","N",1482,1304.66666666667,177.333333333333,"K2",20,1.157365761
"95","SUB","M","2011-12","2011-12_2","2010-11","EL","N",401,577,-176,"C2",3,0.927345571
"95","SUB","M","2012-13","2012-13_2","2010-11","EL","N",753,577,176,"C2",12,1.393601656
"96","SUB","F","2011-12","2011-12_2","2010-11","SU","N",407,590.333333333333,-183.333333333333,"O2",7,1.161251377
"96","SUB","F","2012-13","2012-13_1","2010-11","SU","N",606,590.333333333333,15.6666666666666,"O2",18,1.098778211
"96","SUB","F","2012-13","2012-13_2","2010-11","SU","N",758,590.333333333333,167.666666666667,"O2",19,1.306278899
"97","DOM","M","2013-14","2013-14_2","2010-11","TI","N",1099,1280.5,-181.5,"N2",22,1.022137868
"97","DOM","M","2014-15","2014-15_2","2010-11","TI","N",1462,1280.5,181.5,"C2",20,1.304354733
"97","SUB","M","2011-12","2011-12_2","2010-11","GE","N",373,679.666666666667,-306.666666666667,"N2",8,0.827303239
"97","SUB","M","2012-13","2012-13_2","2010-11","GE","N",719,679.666666666667,39.3333333333334,"N2",12,0.928612677
"97","SUB","M","2013-14","2013-14_1","2010-11","AY","N",947,679.666666666667,267.333333333333,"N2",18,0.855007167
"99","SUB","M","2012-13","2012-13_1","2011-12","FO","N",376,454.5,-78.5,"E2",15,0.689580397
"99","SUB","M","2012-13","2012-13_2","2011-12","FO","N",533,454.5,78.5,"E2",11,0.647815269
"100","SUB","M","2012-13","2012-13_2","2011-12","TO","N",543,735,-192,"J2",13,0.764435453
"100","SUB","M","2013-14","2013-14_1","2011-12","TO","N",770,735,35,"J2",14,0.843889112
"100","SUB","M","2013-14","2013-14_2","2011-12","TO","N",892,735,157,"J2",18,0.716803674
"101","SUB","M","2012-13","2012-13_2","2011-12","KU","N",477,757.25,-280.25,"P1",16,0.977064196
"101","SUB","M","2013-14","2013-14_1","2011-12","KU","N",696,757.25,-61.25,"P1",13,1.015241893
"101","SUB","M","2013-14","2013-14_2","2011-12","KU","N",843,757.25,85.75,"P1",18,0.803789888
"101","SUB","M","2014-15","2014-15_1","2011-12","KU","N",1013,757.25,255.75,"P1",20,0.850347012
"102","SUB","M","2012-13","2012-13_2","2011-12","FO","N",456,556.5,-100.5,"O2",17,0.819598045
"102","SUB","M","2013-14","2013-14_1","2011-12","FO","N",657,556.5,100.5,"O2",16,0.891219997
"103","SUB","M","2012-13","2012-13_2","2011-12","EL","N",453,832.6,-379.6,"C2",10,1.156876693
"103","SUB","M","2013-14","2013-14_1","2011-12","DI","N",690,832.6,-142.6,"C2",15,1.250989223
"103","SUB","M","2013-14","2013-14_2","2011-12","EL","N",845,832.6,12.4,"C2",16,1.152454158
"103","SUB","M","2014-15","2014-15_1","2011-12","DI","N",993,832.6,160.4,"C2",11,1.263649746
"103","SUB","M","2014-15","2014-15_2","2011-12","DI","N",1182,832.6,349.4,"B2",19,1.874313252
"104","SUB","M","2012-13","2012-13_2","2011-12","EL","N",452,570.5,-118.5,"H2",12,1.307504911
"104","SUB","M","2013-14","2013-14_1","2011-12","DI","N",689,570.5,118.5,"H2",14,1.389005257
"105","SUB","M","2012-13","2012-13_2","2011-12","QU","N",481,585.5,-104.5,"G2",11,0.978684848
"105","SUB","M","2013-14","2013-14_1","2011-12","QU","N",690,585.5,104.5,"G2",9,1.011537519
"106","SUB","F","2013-14","2013-14_2","2012-13","AY","N",460,552,-92,"M2",22,1.165628434
"106","SUB","F","2014-15","2014-15_1","2012-13","AY","N",644,552,92,"I2",15,1.167990217
"107","SUB","M","2014-15","2014-15_1","2012-13","JE","N",610,710,-100,"K2",16,1.256463272
"107","SUB","M","2014-15","2014-15_2","2012-13","JE","N",810,710,100,"K2",24,1.217332018
